Dia,Estimado,Verificado,Desvio,Nível,Volume útil,Afluência,Defluência,Vertida,Transferida
2022-05-04,33.92,34.09,0.5,427.27,76.22,190.0,176.0,0.0,0.0
2022-05-05,39.56,39.56,0.0,427.27,76.22,188.0,202.0,0.0,0.0
2022-05-06,45.56,45.86,0.66,427.11,59.97,172.0,235.0,0.0,0.0
2022-05-07,44.25,44.6,0.79,427.03,51.94,171.0,227.0,0.0,0.0
2022-05-08,23.62,23.83,0.89,427.18,67.05,227.0,122.0,0.0,0.0
2022-05-09,23.62,28.29,19.77,427.27,76.22,167.0,146.0,0.0,0.0
2022-05-10,30.75,34.77,13.07,427.2,69.08,174.0,174.0,0.0,0.0
2022-05-11,27.38,27.99,2.23,427.14,63.0,133.0,140.0,0.0,0.0
2022-05-12,27.38,28.08,2.56,427.09,57.96,85.0,141.0,0.0,0.0
2022-05-13,22.58,23.67,4.83,426.92,41.0,126.0,119.0,0.0,0.0
2022-05-14,19.75,20.82,5.42,426.99,47.95,153.0,105.0,0.0,0.0
2022-05-15,18.0,19.04,5.78,427.01,49.95,113.0,99.0,0.0,0.0
2022-05-16,21.54,22.19,3.02,426.98,46.96,128.0,114.0,0.0,0.0
2022-05-17,21.54,22.39,3.95,426.94,42.98,90.0,118.0,1.0,0.0
2022-05-18,19.17,19.69,2.71,426.9,39.02,143.0,102.0,0.0,0.0
